"sampleID"	"taxon_oid"	"Domain"	"Sequencing.Status"	"Study.Name"	"Genome.Name...Sample.Name"	"Sequencing.Center"	"IMG.Genome.ID"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"	"GOLD.Analysis.Project.Type"	"Add.Date"	"Assembly.Method"	"Comments"	"Has.Coverage"	"Is.Public"	"Release.Date"	"User.Access"	"Contact.Email"	"Contact.Name"	"Is.Published"	"Sequencing.Method"	"Ecosystem"	"Ecosystem.Category"	"Ecosystem.Subtype"	"Ecosystem.Type"	"Specific.Ecosystem"	"Altitude.In.Meters"	"Depth.In.Meters"	"Elevation.In.Meters"	"Geographic.Location"	"Habitat"	"Isolation.Country"	"Latitude"	"Longitude"	"Genome.Size.....assembled"	"Gene.Count.....assembled"	"JGI.Data.Utilization.Status"	"X"	"Use"	"Environment"
"X3300022428"	3300022428	"*Microbiome"	"Permanent Draft"	"Metagenomes of microbial mats from hypersaline lakes on Rottnest Island, Australia"	"Microbial mat bacterial and archaeal communities from Herschel Lake, Rottnest Island (WA - Australia) - HL1BM2 JM35"	"AGRF"	3300022428	"Environmental"	"Aquatic"	"Non-marine Saline and Alkaline"	"Hypersaline"	"Microbial mats"	"Metagenomes of microbial mats from hypersaline lakes on Rottnest Island, Australia"	"Metagenome Analysis"	"2017-12-15"	"Unkown"	"released by JGI data releasing policy"	"Yes"	"Yes"	"2021-03-03"	NA	"deirdre.gleeson@uwa.edu.au"	"Deirdre Gleeson"	"No"	"Illumina HiSeq 2500"	"Environmental"	"Aquatic"	"Hypersaline"	"Non-marine Saline and Alkaline"	"Microbial mats"	NA	""	""	"Australia: Herschel Lake, Rottnest Island, Western Australia"	"Microbial mat"	"Australia"	"-31.996565"	"115.531482"	43147937	73086	""	NA	"Use"	"Hypersaline"
"X3300007084"	3300007084	"*Microbiome"	"Permanent Draft"	"Non-marine hypersaline water viral communities from Salar of UYUNI 2014 (Chile)"	"Non-marine hypersaline water viral communities from Salar Uyuni, Bolivia - ZN 5 Uyuni 2014"	"University of Alicante"	3300007084	"Environmental"	"Aquatic"	"Non-marine Saline and Alkaline"	"Hypersaline"	"Unclassified"	"Non-marine hypersaline water viral communities from Salar of UYUNI 2014 (Chile)"	"Metagenome Analysis"	"2016-01-05"	"IDBA 1.1.1 PRE correction"	"released per JGI data release policy"	"No"	"Yes"	"2019-11-01"	NA	"m.martinez@ua.es"	"Manuel Martinez Garcia"	"No"	"Illumina MiSeq"	"Environmental"	"Aquatic"	"Hypersaline"	"Non-marine Saline and Alkaline"	"Unclassified"	NA	""	""	"Salar Uyuni, Bolivia"	"hypersaline water"	""	"-20.333333"	"-67.7"	69488854	211144	""	NA	"Use"	"Hypersaline"
"X3300021588"	3300021588	"*Microbiome"	"Permanent Draft"	"Microbial communities from sediments and microbial mats in various locations"	"Hydrothermal vent microbial mat bacterial communities from Southern Trench, Guaymas Basin, Mexico - 4869-18-2-3_MG"	"DOE Joint Genome Institute (JGI)"	3300021588	"Environmental"	"Aquatic"	"Marine"	"Hydrothermal vents"	"Microbial mats"	"Microbial communities from sediments and microbial mats in various locations"	"Metagenome Analysis"	"2017-11-14"	"spades v. SPAdes version: 3.11.1-check"	""	"Yes"	"Yes"	"2018-01-14"	NA	"bmacgreg@unc.edu"	"Barbara MacGregor"	"No"	"Illumina HiSeq 2500-1TB"	"Environmental"	"Aquatic"	"Hydrothermal vents"	"Marine"	"Microbial mats"	NA	"2001"	""	"Mexico: Guaymas Basin"	"hydrothermal vent microbial mat"	"Mexico"	"27.0074"	"-110.591"	95272852	208464	"Unrestricted"	NA	"Use"	"Hydrothermal vent"
"X3300012094"	3300012094	"*Microbiome"	"Permanent Draft"	"Polar desert microbial communities from Antarctic Dry Valleys"	"Polar desert sand microbial communities from Dry Valleys, Antarctica - metaG UQ858 (22.06)"	"DOE Joint Genome Institute (JGI)"	3300012094	"Environmental"	"Terrestrial"	"Soil"	"Desert"	"Unclassified"	"Polar desert microbial communities from Antarctic Dry Valleys"	"Metagenome Analysis"	"2016-11-24"	"MEGAHIT v. MEGAHIT v1.0.6"	""	"Yes"	"Yes"	"2017-01-23"	NA	"caryc@udel.edu"	"Stephen Cary"	"No"	"Illumina HiSeq 2500-1TB"	"Environmental"	"Terrestrial"	"Desert"	"Soil"	"Unclassified"	NA	""	"973"	"Antarctica: Dry Valley"	"Polar desert sand"	"Antarctica"	"-78.0741"	"163.8918"	939158697	2036446	"Unrestricted"	NA	"Use"	"Desert"
"X2166559006"	2166559006	"*Microbiome"	"Finished"	"Grass soil microbial communities from Rothamsted Park plot 3d, Harpenden, UK"	"Grass soil microbial communities from Rothamsted Park, UK - FI (heavy metals 2g/kg) assembled"	"454 Life Sciences"	2166559006	"Environmental"	"Terrestrial"	"Soil"	"Unclassified"	"Grasslands"	"Grass soil microbial communities from Rothamsted Park plot 3d, Harpenden, UK"	"Metagenome Analysis"	"2011-06-12"	""	"released per JGI data release policy"	"No"	"Yes"	"2019-11-01"	NA	"tom.delmont@ec-lyon.fr"	"Delmont"	"No"	"454 GS FLX Titanium"	"Environmental"	"Terrestrial"	"Unclassified"	"Soil"	"Grasslands"	NA	"0 to .21"	"86"	"United Kingdom: Rothamsted, Harpenden"	"Grass soil"	"United Kingdom"	"51.804241"	"-0.372114"	48397652	91659	""	NA	"Use"	"Acid mine drainage"
"X3300038324"	3300038324	"*Microbiome"	"Permanent Draft"	"Hypersaline water viral communities from Lake Tyrrell, Australia"	"Hypersaline water viral communities from Lake Tyrrell, Australia - 2007At2"	"University of California, Berkeley"	3300038324	"Environmental"	"Aquatic"	"Non-marine Saline and Alkaline"	"Hypersaline"	"Unclassified"	"Hypersaline water viral communities from Lake Tyrrell, Australia"	"Metagenome Analysis"	"2020-03-23"	"Custom JGI assembly, Nielsen et. al."	""	"Yes"	"Yes"	""	NA	""	""	"No"	"Illumina GAIIx"	"Environmental"	"Aquatic"	"Hypersaline"	"Non-marine Saline and Alkaline"	"Unclassified"	NA	""	""	"Australia: Victoria, Lake Tyrrell"	"Hypersaline water"	"Australia"	"-35.309"	"142.795"	11085819	29445	""	NA	"Use"	"Hypersaline"
"X3300013797"	3300013797	"*Microbiome"	"Permanent Draft"	"Microbial community analysis of hydrothermal vent diffuse flow samples from Mid-Cayman Rise, Pacific Ocean"	"Microbial community analysis of hydrothermal vent diffuse flow samples from Mid-Cayman Rise, Pacific Ocean - FS844 IDBA reassembly"	"Marine Biological Laboratory"	3300013797	"Environmental"	"Aquatic"	"Marine"	"Hydrothermal vents"	"Diffuse flow"	"Microbial community analysis of hydrothermal vent diffuse flow samples from Mid-Cayman Rise, Pacific Ocean"	"Metagenome Analysis"	"2017-03-06"	"reassembly with IDBA_UD"	"released by JGI data releasing policy"	"No"	"Yes"	"2021-03-03"	NA	"randerson@carleton.edu"	"Rika Anderson"	"No"	"Illumina MiSeq"	"Environmental"	"Aquatic"	"Hydrothermal vents"	"Marine"	"Diffuse flow"	NA	"2376"	""	"Mid-Cayman Rise"	"hydrothermal vent diffuse flow fluid"	"Undefined"	"18.374735"	"-81.797326"	196958927	248623	""	NA	"Use"	"Hydrothermal vent"
"X3300013794"	3300013794	"*Microbiome"	"Permanent Draft"	"Microbial community analysis of hydrothermal vent diffuse flow samples from Mid-Cayman Rise, Pacific Ocean"	"Microbial community analysis of hydrothermal vent diffuse flow samples from Mid-Cayman Rise, Pacific Ocean - FS881 IDBA reassembly"	"Marine Biological Laboratory"	3300013794	"Environmental"	"Aquatic"	"Marine"	"Hydrothermal vents"	"Diffuse flow"	"Microbial community analysis of hydrothermal vent diffuse flow samples from Mid-Cayman Rise, Pacific Ocean"	"Metagenome Analysis"	"2017-03-06"	"reassembly by IDBA-UD"	"released by JGI data releasing policy"	"No"	"Yes"	"2021-03-03"	NA	"randerson@carleton.edu"	"Rika Anderson"	"No"	"Illumina HiSeq"	"Environmental"	"Aquatic"	"Hydrothermal vents"	"Marine"	"Diffuse flow"	NA	"2370"	""	"Mid Cayman Rise"	"diffuse flow hydrothermal vent"	""	"18.375"	"-81.797"	121538689	229326	""	NA	"Use"	"Hydrothermal vent"
"X3300021469"	3300021469	"*Microbiome"	"Permanent Draft"	"Microbial communities from sediments and microbial mats in various locations"	"Hydrothermal vent microbial mat bacterial communities from Southern Trench, Guaymas Basin, Mexico - 4872-18-4-5_MG"	"DOE Joint Genome Institute (JGI)"	3300021469	"Environmental"	"Aquatic"	"Marine"	"Hydrothermal vents"	"Microbial mats"	"Microbial communities from sediments and microbial mats in various locations"	"Metagenome Analysis"	"2017-11-08"	"spades v. SPAdes version: 3.11.1-check"	""	"Yes"	"Yes"	"2018-01-07"	NA	"bmacgreg@unc.edu"	"Barbara MacGregor"	"No"	"Illumina HiSeq 2500-1TB"	"Environmental"	"Aquatic"	"Hydrothermal vents"	"Marine"	"Microbial mats"	NA	"2011"	""	"Mexico: Guaymas Basin"	"hydrothermal vent microbial mat"	"Mexico"	"27.0114"	"-110.5956"	417006857	883977	"Unrestricted"	NA	"Use"	"Hydrothermal vent"
"X3300003655"	3300003655	"*Microbiome"	"Permanent Draft"	"Arsenic contaminated sediment microbial communities from Roteang Village, Cambodia, amended with 13C-lactate"	"Arsenic contaminated sediment microbial communities from Roteang Village, Cambodia, amended with 13C-lactate"	""	3300003655	"Environmental"	"Terrestrial"	"Deep subsurface"	"Unclassified"	"Unclassified"	"Arsenic contaminated sediment microbial communities from Roteang Village, Cambodia, amended with 13C-lactate"	"Metagenome Analysis"	"2014-10-31"	""	"released by JGI data releasing policy"	"No"	"Yes"	"2020-03-03"	NA	"a.rizoulis@manchester.ac.uk, arizoulis@gmail.com"	"Athanasios Rizoulis"	"No"	"454 GS FLX"	"Environmental"	"Terrestrial"	"Unclassified"	"Deep subsurface"	"Unclassified"	NA	"6 to 7"	"11"	"Roteang Village, Phnom Penh, Cambodia"	"Arsenic contaminated sediment "	"Cambodia"	"11.5044"	"105.0336"	1978262	4480	""	NA	"Use"	"Acid mine drainage"
"X3300019863"	3300019863	"*Microbiome"	"Finished"	"Marine microbial communities from Tor Caldara"	"Marine established microbial mat bacterial communities from Tor Caldara shallow water vent, Tyrrhenian Sea, Italy - TCM1 re-assembly(megahit)"	"Molecular Research LP (MR DNA)"	3300019863	"Environmental"	"Aquatic"	"Marine"	"Hydrothermal vents"	"Microbial mats"	"Marine microbial communities from Tor Caldara"	"Metagenome Analysis"	"2017-07-27"	"Megahit"	"released by JGI data releasing policy"	"No"	"Yes"	"2021-03-03"	NA	"sushmita.patwardhan@gmail.com"	"Sushmita Patwardhan"	"No"	"Illumina MiSeq"	"Environmental"	"Aquatic"	"Hydrothermal vents"	"Marine"	"Microbial mats"	NA	""	""	"Tyrrhenian Sea, Italy"	"Marine microbial mat"	""	"41.48583333"	"12.58972222"	226385715	479229	""	NA	"Use"	"Hydrothermal vent"
"X3300006080"	3300006080	"*Microbiome"	"Permanent Draft"	"Microbial communities in diffuse hydrothermal fluids of Manus Basin, Bismarck Sea"	"Microbial communities in diffuse hydrothermal fluids of Manus Basin, Bismarck Sea - fluid E"	"Max Planck Institute for Plant Breeding Research"	3300006080	"Environmental"	"Aquatic"	"Marine"	"Hydrothermal vents"	"Diffuse flow"	"Microbial communities in diffuse hydrothermal fluids of Manus Basin, Bismarck Sea"	"Metagenome Analysis"	"2015-10-16"	"idba_ud v 1.1.1"	"released per JGI data release policy"	"Yes"	"Yes"	"2019-11-01"	NA	"dmeier@mpi-bremen.de, dimitri.meier@univie.ac.at"	"Dimitri Meier"	"No"	""	"Environmental"	"Aquatic"	"Hydrothermal vents"	"Marine"	"Diffuse flow"	NA	""	""	"Manus Basin, Bismarck Sea"	"diffuse hydrothermal fluid"	""	"-3.720639"	"151.675313"	504328220	863594	""	NA	"Use"	"Hydrothermal vent"
"X3300030413"	3300030413	"*Microbiome"	"Permanent Draft"	"Acid mine drainage microbial biofilm communities from Richmond Mine, California, USA"	"Acid mine drainage biofilm communities from Richmond mine site Abmuck, Iron Mt, CA, USA - AMDABmuck0507"	"University of California, Berkeley"	3300030413	"Environmental"	"Aquatic"	"Freshwater"	"Groundwater"	"Acid Mine Drainage"	"Acid mine drainage microbial biofilm communities from Richmond Mine, California, USA"	"Metagenome Analysis"	"2018-10-15"	"Custom JGI assembly, Nielsen et. al."	"Updating visibility of taxon created using public NCBI SRA data from private to public -- IMGSUPP-3620"	"Yes"	"Yes"	"2022-02-23"	NA	""	""	"No"	"Illumina HiSeq 2000"	"Environmental"	"Aquatic"	"Groundwater"	"Freshwater"	"Acid Mine Drainage"	NA	""	""	"USA: Iron Mountain, California"	"Acid mine drainage"	"USA"	"40.67542"	"-122.53025"	23816290	30729	""	NA	"Use"	"Acid mine drainage"
"X3300012684"	3300012684	"*Microbiome"	"Permanent Draft"	"Polar desert microbial communities from Antarctic Dry Valleys"	"Polar desert sand microbial communities from Dry Valleys, Antarctica - metaG UQ279 (21.06)"	"DOE Joint Genome Institute (JGI)"	3300012684	"Environmental"	"Terrestrial"	"Soil"	"Desert"	"Unclassified"	"Polar desert microbial communities from Antarctic Dry Valleys"	"Metagenome Analysis"	"2016-12-11"	"MEGAHIT v. MEGAHIT v1.0.6"	""	"Yes"	"Yes"	"2017-02-09"	NA	"caryc@udel.edu"	"Stephen Cary"	"No"	"Illumina HiSeq 2500-1TB"	"Environmental"	"Terrestrial"	"Desert"	"Soil"	"Unclassified"	NA	""	"414"	"Antarctica: Dry Valley"	"Polar desert sand"	"Antarctica"	"-78.0526"	"163.748"	2029005818	4333264	"Unrestricted"	NA	"Use"	"Desert"
"X3300026534"	3300026534	"*Microbiome"	"Permanent Draft"	"Marine microbial communities from hydrothermal vents in the Atlantic and Pacific Ocean"	"Hydrothermal vent microbial communities from Mid Atlantic Ridge, Atlantic Ocean - 356-308"	"DOE Joint Genome Institute (JGI)"	3300026534	"Environmental"	"Aquatic"	"Marine"	"Hydrothermal vents"	"Unclassified"	"Marine microbial communities from hydrothermal vents in the Atlantic and Pacific Ocean"	"Metagenome Analysis"	"2018-04-19"	"spades v. 3.11.1"	""	"Yes"	"Yes"	"2018-06-18"	NA	"pgirguis@oeb.harvard.edu"	"Peter Girguis"	"No"	"Illumina HiSeq 2500-1TB"	"Environmental"	"Aquatic"	"Hydrothermal vents"	"Marine"	"Unclassified"	NA	"1672"	""	"Atlantic Ocean: Mid Atlantic Ridge"	"hydrothermal vent"	"Atlantic Ocean"	"37.2904"	"-32.2765"	665474504	1170547	"Unrestricted"	NA	"Use"	"Hydrothermal vent"
"X2025206004"	2025206004	"*Microbiome"	"Permanent Draft"	"Hot springs sediment microbial communities from the Great Boiling Springs, Nevada, USA"	"Sample 300"	""	2025206004	"Environmental"	"Aquatic"	"Thermal springs"	"Hot (42-90C)"	"Sediment"	"Hot springs sediment microbial communities from the Great Boiling Springs, Nevada, USA"	"Metagenome Analysis"	"2009-11-15"	""	"released per JGI data releasing policy"	"No"	"Yes"	"2020-03-03"	NA	"mhess@ucdavis.edu"	"Matthias Hess"	"No"	"454 GS FLX"	"Environmental"	"Aquatic"	"Hot (42-90C)"	"Thermal springs"	"Sediment"	NA	""	""	"Great Boiling Springs thermal field, Nevada"	"Hot springs sediment "	"USA"	"40.652"	"-119.372"	456216751	897526	""	NA	"Use"	"Hot spring"
"X3300000106"	3300000106	"*Microbiome"	"Permanent Draft"	"Hot Spring microbial communities from Great Boiling Spring, Nevada"	"Hot spring sediment microbial communities from Great Boiling Spring, Nevada - cellulolytic enrichment CS 77C v2"	"DOE Joint Genome Institute (JGI)"	3300000106	"Environmental"	"Aquatic"	"Thermal springs"	"Hot (42-90C)"	"Sediment"	"Hot Spring microbial communities from Great Boiling Spring, Nevada"	"Metagenome Analysis"	"2012-06-03"	"Newbler"	"released based on JGI ITS"	"Yes"	"Yes"	"2022-03-25"	NA	"brian.hedlund@unlv.edu"	"Brian P. Hedlund, Brian Hedlund"	"Yes"	"454 GS FLX Titanium, Illumina HiSeq 2000"	"Environmental"	"Aquatic"	"Hot (42-90C)"	"Thermal springs"	"Sediment"	NA	""	"1700"	"Great Boiling Spring, Nevada"	"Hot Spring"	"USA"	"40.71458"	"-119.369659"	83681831	159033	"Unrestricted"	NA	"Use"	"Hot spring"
"X3300022410"	3300022410	"*Microbiome"	"Permanent Draft"	"Metagenomes of microbial mats from hypersaline lakes on Rottnest Island, Australia"	"Microbial mat bacterial and archaeal communities from Herschel Lake, Rottnest Island (WA - Australia) - HL1OPP2 JM59"	"AGRF"	3300022410	"Environmental"	"Aquatic"	"Non-marine Saline and Alkaline"	"Hypersaline"	"Microbial mats"	"Metagenomes of microbial mats from hypersaline lakes on Rottnest Island, Australia"	"Metagenome Analysis"	"2017-12-15"	"Unkown"	"released by JGI data releasing policy"	"Yes"	"Yes"	"2021-03-03"	NA	"deirdre.gleeson@uwa.edu.au"	"Deirdre Gleeson"	"No"	"Illumina HiSeq 2500"	"Environmental"	"Aquatic"	"Hypersaline"	"Non-marine Saline and Alkaline"	"Microbial mats"	NA	""	""	"Australia: Herschel Lake, Rottnest Island, Western Australia"	"Microbial mat"	"Australia"	"-31.996565"	"115.531482"	51571195	83739	""	NA	"Use"	"Hypersaline"
"X3300002491"	3300002491	"*Microbiome"	"Permanent Draft"	"Anoxygenic and chlorotrophic microbial mat microbial communities from Yellowstone National Park, USA"	"Anoxygenic and chlorotrophic microbial mat microbial communities from Yellowstone National Park, USA - YNP Bryant BLVA 2012"	"DOE Joint Genome Institute (JGI)"	3300002491	"Environmental"	"Aquatic"	"Thermal springs"	"Hot (42-90C)"	"Microbial mats"	"Anoxygenic and chlorotrophic microbial mat microbial communities from Yellowstone National Park, USA"	"Metagenome Analysis"	"2014-03-21"	""	""	"Yes"	"Yes"	"2014-05-20"	NA	"dab14@psu.edu"	"Donald A. Bryant, Donald Bryant"	"No"	"Illumina HiSeq 2000, Illumina HiSeq 2500"	"Environmental"	"Aquatic"	"Hot (42-90C)"	"Thermal springs"	"Microbial mats"	NA	""	""	"Yellowstone National Park, Wyoming, USA"	"Anoxygenic and chlorotrophic microbial mat"	"USA"	"44.534"	"-110.7978"	193210698	349616	"Unrestricted"	NA	"Use"	"Hot spring"
"X3300007520"	3300007520	"*Microbiome"	"Permanent Draft"	"Freshwater microbial communities from lake liftoff mats and glacier meltwater in Antarctica"	"Freshwater microbial communities from Lake Bonney liftoff mats and glacier meltwater in Antarctica - BON-02 (megahit assembly)"	"DOE Joint Genome Institute (JGI)"	3300007520	"Environmental"	"Aquatic"	"Freshwater"	"Ice"	"Glacier meltwater"	"Freshwater microbial communities from lake liftoff mats and glacier meltwater in Antarctica"	"Metagenome Analysis"	"2016-04-25"	"MEGAHIT v. MEGAHIT v1.0.3"	""	"Yes"	"Yes"	"2016-04-15"	NA	"slonczewski@kenyon.edu"	"Joan Slonczewski"	"No"	"Illumina HiSeq 2500-1TB"	"Environmental"	"Aquatic"	"Ice"	"Freshwater"	"Glacier meltwater"	NA	"83"	""	"Lake Bonney"	"Freshwater"	"Antarctica"	"-77.714"	"162.445"	2174974799	3504326	"Unrestricted"	NA	"Use"	"Cryosphere"
"X3300015069"	3300015069	"*Microbiome"	"Permanent Draft"	"Metagenomes of Arctic soils"	"Arctic soil microbial communities from a glacier forefield, Russell Glacier, Kangerlussuaq, Greenland (Sample G4C, Ice margin, adjacent to proglacial lake"	"University of Bristol"	3300015069	"Environmental"	"Terrestrial"	"Soil"	"Glacier"	"Unclassified"	"Metagenomes of Arctic soils"	"Metagenome Analysis"	"2017-04-05"	"SPADES"	"released per Natalia: IMGSUPP-1553"	"Yes"	"Yes"	"2018-05-18"	NA	"maisie.nash@bristol.ac.uk; ama@envs.au.dk"	"Maisie Nash; Alexandre Magno Barbosa Anesio"	"Yes"	"Illumina HiSeq"	"Environmental"	"Terrestrial"	"Glacier"	"Soil"	"Unclassified"	NA	"0"	"404"	"Russell glacier, Kangerlussuaq, Greenland"	"Glacier forefield soil"	"Greenland"	"67.156843"	"-50.082361"	82284058	143985	""	NA	"Use"	"Glacial forefield"
"X3300017578"	3300017578	"*Microbiome"	"Permanent Draft"	"Bras del Port Noviembre 2014"	"Non-marine hypersaline water microbial communities from Bras del Port saltern pond, Alicante, Spain - CM1 Nov 2014"	"University of Valencia"	3300017578	"Environmental"	"Aquatic"	"Non-marine Saline and Alkaline"	"Hypersaline"	"Unclassified"	"Bras del Port Noviembre 2014"	"Metagenome Analysis"	"2017-05-06"	"idba.1.1.1"	"released by JGI data releasing policy"	"No"	"Yes"	"2021-03-03"	NA	"ramosloles@gmail.com"	"Maria Dolores Ramos Barbero"	"No"	"Illumina"	"Environmental"	"Aquatic"	"Hypersaline"	"Non-marine Saline and Alkaline"	"Unclassified"	NA	""	""	"Bras del Port, Alicante, Spain"	"Non-marine hypersaline water"	""	"38.1922"	"-0.5918"	40781004	132893	""	NA	"Use"	"Hypersaline"
"X3300032057"	3300032057	"*Microbiome"	"Permanent Draft"	"Phototrophic mat microbial and viral communities from various hot springs in Yellowstone National Park, Wyoming, United States"	"Hot spring phototrophic mat microbial communities from Mushroom Spring, Yellowstone National Park, Wyoming, United States - 20090730_MS60"	"DOE Joint Genome Institute (JGI)"	3300032057	"Environmental"	"Aquatic"	"Thermal springs"	"Hot (42-90C)"	"Microbial mats"	"Phototrophic mat microbial and viral communities from various hot springs in Yellowstone National Park, Wyoming, United States"	"Metagenome Analysis"	"2018-12-07"	"spades v. 3.12.0"	""	"Yes"	"Yes"	"2019-02-05"	NA	"dbhaya@stanford.edu"	"Devaki Bhaya"	"No"	"PacBio Sequel, Illumina NovaSeq"	"Environmental"	"Aquatic"	"Hot (42-90C)"	"Thermal springs"	"Microbial mats"	NA	"0"	""	"USA: Wyoming"	"hot spring phototrophic mat"	"USA"	"44.5387"	"-110.798"	354873169	711546	"Unrestricted"	NA	"Use"	"Hot spring"
"X3300009590"	3300009590	"*Microbiome"	"Permanent Draft"	"Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II)"	"Hot spring microbial communities from Little Hot Creek, USA to study Microbial Dark Matter (Phase II) - LHC4sed_replicate"	"DOE Joint Genome Institute (JGI)"	3300009590	"Environmental"	"Aquatic"	"Thermal springs"	"Hot (42-90C)"	"Sediment"	"Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II)"	"Metagenome Analysis"	"2016-06-16"	"MEGAHIT v. MEGAHIT v1.0.3"	""	"Yes"	"Yes"	"2016-08-15"	NA	"brian.hedlund@unlv.edu; rstepanauskas@bigelow.org"	"Brian Hedlund; Ramunas Stepanauskas"	"No"	"Illumina HiSeq 2500-1TB"	"Environmental"	"Aquatic"	"Hot (42-90C)"	"Thermal springs"	"Sediment"	NA	""	"2137"	"USA: California, Little Hot Creek"	"Hot spring"	"USA"	"37.6906"	"-118.8442"	185139994	427773	"Unrestricted"	NA	"Use"	"Hot spring"
"X3300022402"	3300022402	"*Microbiome"	"Permanent Draft"	"Metagenomes of microbial mats from hypersaline lakes on Rottnest Island, Australia"	"Microbial mat bacterial and archaeal communities from Serpentine Lake, Rottnest Island (WA - Australia) - SL1BM2 JM113"	"AGRF"	3300022402	"Environmental"	"Aquatic"	"Non-marine Saline and Alkaline"	"Hypersaline"	"Microbial mats"	"Metagenomes of microbial mats from hypersaline lakes on Rottnest Island, Australia"	"Metagenome Analysis"	"2017-12-15"	"Unkown"	"released by JGI data releasing policy"	"Yes"	"Yes"	"2021-03-03"	NA	"deirdre.gleeson@uwa.edu.au"	"Deirdre Gleeson"	"No"	"Illumina HiSeq 2500"	"Environmental"	"Aquatic"	"Hypersaline"	"Non-marine Saline and Alkaline"	"Microbial mats"	NA	""	""	"Australia: Serpentine Lake, Rottnest Island, Western Australia"	"Microbial mat"	"Australia"	"-32.002717"	"115.525989"	44813625	81491	""	NA	"Use"	"Hypersaline"
"X3300028214"	3300028214	"*Microbiome"	"Permanent Draft"	"Antarctic microbial communities"	"Marine microbial communities from Organic Lake, Antarctica - GS377 with 0.8UM filter - spades"	"JGI facility at Oak Ridge National Laboratory"	3300028214	"Environmental"	"Aquatic"	"Non-marine Saline and Alkaline"	"Hypersaline"	"Unclassified"	"Antarctic microbial communities"	"Metagenome Analysis"	"2018-05-23"	"Spades v. 3.11.1"	"released by Michelle Allen"	"Yes"	"Yes"	"2021-04-27"	NA	"r.cavicchioli@unsw.edu.au"	"Rick Cavicchioli"	"No"	"454"	"Environmental"	"Aquatic"	"Hypersaline"	"Non-marine Saline and Alkaline"	"Unclassified"	NA	"6.5"	""	"Organic Lake, Antarctica"	"Marine derived hypersaline lake"	"Antarctica"	"-68.46233"	"78.19663"	19638791	39233	""	NA	"Use"	"Hypersaline"
"X3300012046"	3300012046	"*Microbiome"	"Permanent Draft"	"Polar desert microbial communities from Antarctic Dry Valleys"	"Polar desert sand microbial communities from Dry Valleys, Antarctica - metaG UQ833 (21.06)"	"DOE Joint Genome Institute (JGI)"	3300012046	"Environmental"	"Terrestrial"	"Soil"	"Desert"	"Unclassified"	"Polar desert microbial communities from Antarctic Dry Valleys"	"Metagenome Analysis"	"2016-11-23"	"MEGAHIT v. MEGAHIT v1.0.6"	""	"Yes"	"Yes"	"2017-01-22"	NA	"caryc@udel.edu"	"Stephen Cary"	"No"	"Illumina HiSeq 2500-1TB"	"Environmental"	"Terrestrial"	"Desert"	"Soil"	"Unclassified"	NA	""	"416"	"Antarctica: Dry Valley"	"Polar desert sand"	"Antarctica"	"-78.0467"	"163.6821"	817562600	1800040	"Unrestricted"	NA	"Use"	"Desert"
"X3300028217"	3300028217	"*Microbiome"	"Permanent Draft"	"Antarctic microbial communities"	"Marine microbial communities from Organic Lake, Antarctica - GS377 with 0.1UM filter - spades"	"JGI facility at Oak Ridge National Laboratory"	3300028217	"Environmental"	"Aquatic"	"Non-marine Saline and Alkaline"	"Hypersaline"	"Unclassified"	"Antarctic microbial communities"	"Metagenome Analysis"	"2018-05-23"	"Spades v. 3.11.1"	"released by Michelle Allen"	"Yes"	"Yes"	"2021-04-27"	NA	"r.cavicchioli@unsw.edu.au"	"Rick Cavicchioli"	"No"	"454"	"Environmental"	"Aquatic"	"Hypersaline"	"Non-marine Saline and Alkaline"	"Unclassified"	NA	"6.5"	""	"Organic Lake, Antarctica"	"Marine derived hypersaline lake"	"Antarctica"	"-68.46233"	"78.19663"	22098194	45621	""	NA	"Use"	"Hypersaline"
"X3300012043"	3300012043	"*Microbiome"	"Permanent Draft"	"Polar desert microbial communities from Antarctic Dry Valleys"	"Polar desert sand microbial communities from Dry Valleys, Antarctica - metaG UQ601 (22.06)"	"DOE Joint Genome Institute (JGI)"	3300012043	"Environmental"	"Terrestrial"	"Soil"	"Desert"	"Unclassified"	"Polar desert microbial communities from Antarctic Dry Valleys"	"Metagenome Analysis"	"2016-11-23"	"MEGAHIT v. MEGAHIT v1.0.6"	""	"Yes"	"Yes"	"2017-01-22"	NA	"caryc@udel.edu"	"Stephen Cary"	"No"	"Illumina HiSeq 2500-1TB"	"Environmental"	"Terrestrial"	"Desert"	"Soil"	"Unclassified"	NA	""	"184"	"Antarctica: Dry Valley"	"Polar desert sand"	"Antarctica"	"-78.1246"	"164.09"	746337424	1667134	"Unrestricted"	NA	"Use"	"Desert"
